Sample code;Exposure time;Dose;PANTOLACTONE;Ferulic acid;CAFFEATE;3-HYDROXYBUTANOIC ACID;GAMMA-LINOLENIC ACID;CORTICOSTERONE;HEXANOATE;4-Methylvaleric acid;SPHINGOMYELIN;Anthranilic acid;4-ACETAMIDOBUTANOATE;RAC-GLYCEROL 1-MYRISTATE;Retinoic acid;SHIKIMATE;SUBERIC ACID;EPINEPHRINE;Coenzyme Q2;gamma-Linolenic acid;Isovaleric acid;INDOLE-3-ACETAMIDE;HISTAMINE;ESTRADIOL-17ALPHA;3-Methyladipic acid;ADENOSINE;SPHINGANINE;DOPAMINE;D-PSICOSE;Adenine;L-GLUTAMIC ACID;MYO-INOSITOL;L-METHIONINE;5-OXO-D-PROLINE;CHOLINE;HOMOSERINE;4-HYDROXY-L-PROLINE;L-LYSINE;L-ARGININE;CYTOSINE;D-Sphingosine;GALACTITOL;MANNITOL;2-AMINOPHENOL;3-HYDROXYBENZYL ALCOHOL;CHENODEOXYCHOLATE;3-UREIDOPROPIONATE;L-TYROSINE;4-AMINOBUTANOATE;L-PROLINE;CREATINE;L-Glutamine;SARCOSINE;Guanidoacetic Acid (Glycocyamine);TAURINE;Inosine;BETA-ALANINE;3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE;L-PHENYLALANINE;HYPOXANTHINE;L-CARNITINE;O-ACETYL-L-CARNITINE;Palmitoyl-L-carnitine;TYRAMINE;OLEATE;O-ACETYL-L-CARNITINE;NICOTINAMIDE;25-HYDROXYCHOLESTEROL;DESMOSTEROL;L-ASPARTATE;Neopterin;ALPHA-D-GLUCOSE;25-Hydroxyvitamin D2;Metanephrine;INDOLE-3-ACETALDEHYDE;L-HISTIDINOL;1-OLEOYL-RAC-GLYCEROL;D-SORBITOL;D-FRUCTOSE;Hexanoyl-L-carnitine;D-PANTOTHENIC ACID;PENTANOATE;L-ISOLEUCINE;(S)-NICOTINE;L-ALLOTHREONINE;3-METHYLADENINE;L-Valine;4-PYRIDOXATE;N-alpha-Acetyl-L-ornithine;LEUCINE;all trans-Retinal;N-ALPHA-ACETYL-L-ASPARAGINE;L-TRYPTOPHANAMIDE;Vitamin K1 (PHYLLOQUINONE);Palmitic acid;CHOLATE;RIBITOL;CYTIDINE;THYROTROPIN RELEASING HORMONE;1,2-DIPALMITOYL-RAC-GLYCERO-3-PHOSPHOETHANOLAMINE;Normetanephrine;Oleoyl-L-carnitine;L-Citrulline;BETAINE;L-Serine;OMEGA-HYDROXYDODECANOIC ACID;ALPHA-TOCOPHEROL;N-METHYL-L-GLUTAMATE;LINOLEATE;1-METHYLADENOSINE;5-VALEROLACTONE;PHYLLOQUINONE;SEROTONIN;BENZOATE;3-METHYLHISTAMINE;L-ARGININE; 4-Phospho-D-erythrose;D-GLUCONO-1,5-LACTONE;GUANOSINE;N-ACETYL-DL-SERINE;Stearoyl-L-Carnitine;GLUCONIC ACID;N-ACETYL-D-GALACTOSAMINE;N-ACETYLPUTRESCINE;Linoleyl ethanolamide;VITAMIN D2;BIS(2-ETHYLHEXYL)PHTHALATE;MENAQUINONE
ARO36TMTHILIC+_06;1;0;20.450355;69.66046379;428.0112488;7.18823104;1923.053509;52.18388252;8.056743302;184.4560237;9.608138822;67.30878698;9.022133866;17.22501665;3.41349422;13.36921782;4.522157978;4.575611993;3.849035624;3.645675319;1.17730645;12.77258892;1.833352839;3.500826548;12.41641244;74.04752685;4.088699941;1.374377491;3.78145957;18.15135926;16.86365554;13.02419796;17.27360936;29.53281076;9.384515661;10.53997832;2.081233502;379.567962;2.336960611;2.864689599;9.663258834;24.13354256;60.25764937;7.800951823;2.233234236;5.373156978;29.7207323;1.922309315;996.5463626;101.9836063;1105.658341;245.4685228;10.18657584;2.929949632;8.119651817;26.49993126;6.792769587;19.70390213;177.3157537;7.904015938;372.3448637;2.603512055;4.524489488;64.94361407;66.69715227;576.7112457;131.0789577;488.0356191;12.1380288;4.872305606;11.69343269;528.2886475;12.54694842;5.564185939;10.00998934;1.095195093;69.86353191;5000.715395;2810.125141;3.349729723;1736.563624;24.38617282;21.56145797;5.252481695;1.125133777;6.371880109;36.38344037;7.677003223;4.755614046;5.430096504;27.84161142;3.984664203;0.929520825;58.94601158;15.65227749;5.966932235;2.47273246;6.162363038;3.735575532;9.210806767;1.121876661;10.4809347;2.259701379;6.136053194;2.501274189;8.060956497;65.43336204;8.162817332;8.462493687;44.64163267;9.040205607;2.238584549;0.915614153;3.453731468;2.866200273;2.14413785;5.379009602;92.33485402;1.428332342;2.183822839;2.319500531;51.99727881;9.513072272;14.37646428;119.0932547;22.93883798;364.1206839;1.758991328
ARO36TMTHILIC+_07;1;0;45.14475512;69.14890535;427.3369196;5.676903953;1209.532254;126.2425873;20.47835278;249.955784;5.259551663;60.62333724;2.406515792;17.68122731;4.029276049;7.037794257;4.170042997;2.779436529;1.066464591;5.625450575;1.353678052;11.78569793;0.492922145;3.086210048;15.50887853;392.3060508;2.276178913;2.897701973;2.595657311;34.63173584;11.33301543;9.599968193;14.94312765;17.66907616;8.245872256;12.73625792;2.438423255;430.9315096;1.795855774;2.571186727;5.462135381;17.34252138;58.65025561;8.052105973;1.670174141;4.48785427;25.38065577;1.647973879;902.8120631;95.18246528;898.3898073;206.9411098;8.282181092;5.510662062;6.054008742;44.68961696;6.096082647;20.46762649;175.6838057;14.61691955;307.1531999;1.072744405;4.352280605;58.91087472;57.2928824;474.6507426;125.2859711;410.4674312;12.19286613;4.24040202;10.03519925;445.3707538;14.16645629;3.04330918;14.62878988;0.439812503;44.75230592;4800.578292;2794.59145;4.204756944;1536.725332;24.284083;17.46924546;3.63906834;1.114277742;3.99060283;31.69055529;4.781492791;5.94251599;5.98974129;29.98563577;4.967718907;1.299617587;55.4000791;12.8154059;3.579855098;3.425543736;10.69691962;2.260129705;6.063262159;1.27695117;6.125864521;3.077307062;2.925614256;0.907395206;3.957550116;35.85174612;12.87811518;3.897130633;37.23564942;14.9572339;0.876226795;1.910991585;4.766318308;2.343374136;3.829694452;7.171054678;125.9281033;1.594214651;1.856951865;2.313783361;53.90500616;12.87220707;16.29997118;73.15254774;20.21293286;364.8014797;3.761165764
ARO36TMTHILIC+_08;1;0;34.83845412;76.69959272;455.9674513;5.07424426;1534.2496;51.13953116;12.7433483;218.9540341;15.3200853;43.84833953;8.878238852;24.26740467;5.511598121;11.12820443;2.649598126;1.498364026;1.034805738;3.87576383;1.118820589;18.02812854;0.739967547;9.106668231;12.92421525;377.9062332;4.970344581;2.174366403;1.791291906;40.30695198;6.444788512;8.369270339;13.62148527;14.4666715;6.440072018;11.35665346;3.2111502;403.0874044;1.513145613;2.759712522;9.367961123;20.2500227;55.2984498;11.63838197;1.231173098;5.093985752;27.79748201;1.981568956;888.1759295;95.58866228;802.7030097;174.993693;9.089996926;3.050650762;4.756620064;55.21162577;6.351742464;17.85469242;145.0094789;14.83710651;275.0741797;1.958065978;2.139927555;44.60211713;51.47018137;434.709052;131.1270388;386.3809404;13.50357552;2.893079722;8.873399906;418.181098;11.73763292;4.656430222;11.2662109;1.679841916;37.53402814;4458.919656;2302.584876;4.873979329;1551.881898;17.2482625;19.30594433;4.611398532;1.080841531;4.055023149;37.72243977;7.201257406;7.735471053;4.823423592;31.10469545;3.43418929;0.70178473;56.90975405;10.43168306;3.463608326;1.377691057;8.893350864;1.976061089;7.101327143;0.746508893;7.873334993;2.13254167;4.175080488;1.919080379;5.81822215;53.31949136;8.351132247;5.670553821;31.09660689;11.09145782;4.402322372;2.722701049;6.254753262;3.686836351;1.901897778;6.980951268;72.22632005;2.070865797;4.539836211;2.556293891;40.98388813;5.96830299;11.90044764;115.2036336;16.65775824;326.8446686;2.105804006
ARO36TMTHILIC+_09;1;0.5;34.76781536;54.99916771;358.7134603;4.454471026;1488.050945;135.5026572;15.82136723;194.5068254;30.65428095;65.63619924;10.74369799;22.36433253;3.059398628;11.43174657;2.475103892;1.771943169;5.257537734;2.760542577;2.401356559;12.61322468;0.726754607;4.569990451;12.49170523;1429.224819;3.246090907;3.165337289;3.335124256;49.96543016;18.65927019;8.498586871;22.28942639;25.95371408;10.60208278;10.03612954;2.042268903;331.5513972;2.93860086;5.501657457;7.835243836;22.31361572;59.94812171;9.656261245;1.204342721;4.9434296;26.63107481;1.48122981;1003.655562;103.3267925;1344.374574;279.2654965;15.3088221;3.821903078;8.146019309;56.30258482;8.752970409;21.35239931;190.6106834;18.68697058;335.4128583;2.798872685;3.703205086;66.07479803;73.8884676;611.9745596;203.6574272;443.4926687;13.97158188;4.457205611;9.755478341;563.5673588;17.4787157;6.37339857;12.40693511;0.145063417;66.06258006;4910.274282;2694.495515;1.626696712;1975.547255;21.61152087;17.9279048;3.223100089;0.788567272;5.497891332;14.51838577;10.22506548;6.541581109;5.155131094;41.05880801;2.206268306;1.545536806;62.38449234;9.754578763;5.094995498;3.64882919;18.94461717;4.055400059;8.882057406;0.675739237;8.862572295;1.595233666;4.712694142;2.266481705;3.771963291;37.54871269;13.64169319;6.047674344;47.90859067;11.98285473;4.509973326;0.342040652;4.54892168;3.139080357;3.534876906;6.984384128;92.24731465;0.84350194;1.701277955;2.421870952;52.64804283;16.2270712;17.13939123;97.28014927;25.57429178;304.3388245;2.310514711
ARO36TMTHILIC+_10;1;0.5;41.3504404;69.79552442;387.1221755;4.829948459;1569.681908;234.5602586;15.517454;235.3676488;23.64209473;43.89805642;3.957668247;13.43544351;4.358051434;4.918646779;1.046886749;2.807587723;4.249403505;3.949729909;2.608319061;10.52080141;0.544574566;3.057228138;14.46567947;430.1097962;3.640201094;1.273237131;2.780782614;27.44938802;20.83339025;12.00590916;24.84962726;30.6513327;9.970607662;10.53289966;1.198619598;375.8846808;2.23234959;2.298513361;9.667961666;32.19065146;64.53766657;12.77519988;0.456338194;5.448171325;27.00676807;1.583978938;943.105024;122.274905;1276.49715;340.6880166;11.01133613;4.6406881;5.762311158;35.9484267;13.53659217;23.34331667;266.2841932;14.61720671;382.819331;2.023536946;2.451804365;85.3627483;62.23863561;585.196076;227.2581956;408.0653311;10.6992297;3.808697403;15.78455327;530.0144041;21.68010076;6.177733337;15.08086435;1.275932708;61.86214575;5599.722123;3599.315886;1.73937977;1895.781194;21.68869139;27.42999857;4.214866949;1.94315846;6.351933934;21.1741635;4.984765851;5.568935488;4.57227985;39.14948252;1.005132694;0.632568273;62.02967298;11.66616019;3.759246507;4.012009829;12.3391134;6.758927892;6.023166272;0.818219246;9.324776786;1.912107572;5.367436203;2.845048158;4.283808701;59.69172051;12.74311648;7.382681481;36.57439793;8.263535133;3.136468417;1.036142023;3.315307618;3.361972768;1.228122203;6.148685947;102.5487213;1.525287908;1.109610941;2.323116408;53.40393421;12.82959053;20.12370871;114.5418648;23.96295544;321.4115655;3.597355177
ARO36TMTHILIC+_11;1;0.5;46.63717337;89.20733156;473.4316924;7.284416858;1003.830859;167.4330278;13.62621702;203.5521654;21.45879953;98.95297023;8.070849437;27.12230242;3.893143746;6.875443567;4.811813675;2.705743487;1.931897495;1.883622226;2.964356425;9.675359273;0.612767153;6.336067561;12.07310962;493.9545475;3.386901862;3.035751546;1.967568542;33.90443351;27.30490214;9.573979003;25.32319007;33.71206585;11.47283987;8.974681883;2.478324982;393.8476346;3.011454198;2.252219449;4.410490144;26.30944624;83.87236262;13.2210061;2.366576892;1.540232697;32.30555907;1.282159451;1069.190961;147.232226;2034.488307;414.5680281;17.32959825;6.993293037;9.356638334;59.22686754;13.42311513;22.11019149;221.4754399;16.06228607;393.3770177;2.272771456;2.725066538;80.72444249;70.70797114;752.1340501;231.8031198;438.3139904;12.55189056;4.896952972;11.27758871;659.0619077;18.13035786;1.476155829;16.01178716;1.29251701;78.736907;5361.70145;3188.959342;4.159608718;2100.25876;25.65597152;26.50467025;3.915973047;0.913406655;5.600307187;26.53257164;5.092878751;6.935909336;6.326422479;46.84696544;4.496937621;2.328421384;66.89806768;9.378347751;2.591863473;3.989773024;11.04971875;2.664287139;6.686137906;1.148897092;7.797501401;2.706031218;3.759837396;2.120356616;7.842232052;30.68157381;13.31437519;6.377351481;47.28285961;7.517282194;1.066104905;2.281444129;2.574070941;2.999881249;4.65776456;7.398098009;91.09926421;1.10498198;2.290785442;0.70667495;42.06237218;14.25632848;24.86110948;59.53227717;17.12987169;336.7574507;1.577728974
ARO36TMTHILIC+_12;1;1;19.92900272;80.16648315;441.1320993;6.715532981;1196.485673;74.96314609;15.41012249;199.647042;7.379388876;62.91964947;8.504787702;6.823803506;5.408381769;7.624141941;2.298118077;2.87277594;7.98947758;3.371628997;2.086381814;15.67805506;0.563417167;6.283622217;9.84216064;214.0776798;5.545718694;0;2.787895045;29.48346949;10.28531768;7.615614626;16.17546185;20.91796799;9.704475343;10.62221832;0.481840039;407.06922;2.042099695;1.499508345;5.732916702;14.14159111;60.85462294;14.49913454;2.649404628;5.256165952;28.07695528;0.739690199;889.3023122;96.89054286;916.5738833;217.1635903;9.443137724;2.638763762;5.190899846;20.56998813;7.148340766;24.73518049;149.2023746;3.580100484;272.2200691;3.113493988;2.327021059;57.02715672;49.92479202;500.8366315;138.4509502;403.3514868;12.59854367;5.201680118;12.84748241;448.2560745;22.11356767;3.018527695;9.087530968;1.483330729;55.26246623;4142.278943;2260.32221;2.783943142;1622.851305;21.0139063;22.02844773;5.081780041;1.801204002;3.888655687;12.74143367;5.070866188;7.218310984;5.19954802;29.7654806;4.300437009;1.096478063;65.61400853;10.551764;2.670398637;1.972694494;7.013888471;4.505528251;8.265198297;0.567373853;6.967079571;0.774680328;2.926709379;2.715458084;5.706707023;70.57624312;7.719282487;6.877037422;32.86836855;11.10404088;3.857479504;1.760337877;3.906344728;4.077344352;3.564937267;3.37377513;88.37360123;1.323152546;1.329678515;3.057062018;47.62293066;10.22716333;16.23292044;124.21397;18.487934;284.0772157;2.730994591
ARO36TMTHILIC+_13;1;1;37.07177404;52.1207105;324.9178052;5.254869234;1543.338196;126.0200046;20.27108068;166.7030947;21.01057747;163.3015193;3.172269831;5.548347975;2.086460408;3.564105284;4.488470328;2.951029825;3.624116012;4.856941746;1.666919269;8.270874574;1.889786225;3.967871223;11.8016713;418.9721416;3.188079466;1.638123549;4.882155326;31.91550297;15.6914924;8.821253132;13.78819845;18.54909935;5.377995135;6.953920747;1.812117018;349.8350235;2.5803414;1.927836504;7.808248918;24.76673125;59.96102465;12.95279388;2.737908661;3.018210025;35.81743955;0.878339626;908.8016123;99.47582292;1047.783154;255.3881641;8.871635653;3.421423028;7.245872039;27.66186704;8.011981087;17.29446264;175.1710211;7.338839835;296.766503;2.051045104;2.994140705;63.43556808;64.4279557;561.63765;191.3590181;422.4018214;9.788714099;4.875638275;10.36600874;527.0250089;27.59675251;3.076376948;7.495451971;0.991756407;65.94327121;4587.904465;2386.045331;3.812890223;1812.107194;21.94092178;19.2703329;4.054864466;1.318545789;5.541683851;15.04664948;5.143327322;4.665446481;5.241100594;37.37455395;1.963294409;1.077961579;67.22080329;7.512855444;7.406051079;3.720711517;9.533658949;3.480965697;6.745113668;1.212650078;7.243140813;2.748593374;5.301067004;2.461897901;7.268176017;64.27826381;8.228296717;5.84325234;42.06705771;10.10781956;0.273990977;1.153859599;4.816398981;2.216708259;1.543409867;6.934929967;96.86932358;1.75407004;1.615112598;3.015293928;55.63624392;8.079519485;17.47624298;147.6278689;22.69344319;270.3338414;4.235850187
